Procedure Url,Procedure Title,Procedure Description,Procedure Include,Procedure Factors,Treatment Name,Minimum Cost,Maximum Cost
https://www.vaidam.com/search/congenital-heart-disease-chd/india, Congenital Heart Disease Chd Treatment Cost In India , Congenital Heart Disease Chd Treatment cost in India for Indian Patients is between Rs.177600 to Rs.236800. Cost for International patients is between USD 3600 to USD 4400. Patient has to stay in the hospital for 2 days and outside the hospital for 15 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"[' Preoperative diagnostic tests cost [electrocardiogram (ECG), ultrasound, coronary angiogram, magnetic resonance imaging (MRI), etc.]\xa0 ', ' Surgery cost\xa0 ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost [blood pressure drugs, beta-blockers, water pills (diuretics), etc.] ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.) ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital ', ' Cost of Accommodation during follow-ups, in case the patient is not a local resident ']","['Congenital Heart Disorder CHD', 'Thoracic Aortic Aneurysm Treatment', 'ASD (Atrial Septal Defect) Closure', 'Truncus Arteriosus Treatment', 'Device Closure- ASD VSD', 'Tetralogy of Fallot Repair', 'Fontan procedures', 'Transposition of the Great Arteries (TGA) Surgery', 'Balloon Septostomy', 'Coronary fistula', 'Arterial Switch Operation', 'Double Outlet Right Ventricle (DORV) Surgery', 'PDA Ligation', 'AV Canal repair', 'Heart Surgery']","[177600, 146520, 217560, 319680, 208680, 199800, 319680, 199800, 66600, 199800, 319680, 266400, 139860, 244200, 199800]","[236800, 195360, 290080, 426240, 278240, 266400, 426240, 266400, 88800, 266400, 426240, 355200, 186480, 325600, 266400]"
https://www.vaidam.com/search/congenital-heart-disease-chd/turkey, Congenital Heart Disease Chd Treatment Cost In Turkey , Congenital Heart Disease Chd Treatment cost in Turkey is between USD 5400 to USD 6600. Patient has to stay in the hospital for 2 days and outside the hospital for 15 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"[' Preoperative diagnostic tests cost [electrocardiogram (ECG), ultrasound, coronary angiogram, magnetic resonance imaging (MRI), etc.]\xa0 ', ' Surgery cost\xa0 ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost [blood pressure drugs, beta-blockers, water pills (diuretics), etc.] ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.) ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital ', ' Cost of Accommodation during follow-ups, in case the patient is not a local resident ']","['Congenital Heart Disorder CHD', 'Thoracic Aortic Aneurysm Treatment', 'ASD (Atrial Septal Defect) Closure', 'PET CT Scan', 'Device Closure- ASD VSD', 'Tetralogy of Fallot Repair', 'Arterial Switch Operation', 'AV Canal repair', 'Heart Surgery', 'Blalock-Taussig (BT) Shunt', 'Echocardiography with Color Doppler', 'Coarctation of the Aorta (CoA) Surgery', 'Coarctation of the Aorta (CoA) Surgery']","[None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None]"
https://www.vaidam.com/search/congenital-heart-disease-chd/thailand, Congenital Heart Disease Chd Treatment Cost In Thailand , Congenital Heart Disease Chd Treatment cost in Thailand is between USD 10800 to USD 13200. Patient has to stay in the hospital for 2 days and outside the hospital for 15 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"[' Preoperative diagnostic tests cost [electrocardiogram (ECG), ultrasound, coronary angiogram, magnetic resonance imaging (MRI), etc.]\xa0 ', ' Surgery cost\xa0 ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost [blood pressure drugs, beta-blockers, water pills (diuretics), etc.] ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.) ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital ', ' Cost of Accommodation during follow-ups, in case the patient is not a local resident ']","['Congenital Heart Disorder CHD', 'ASD (Atrial Septal Defect) Closure', 'Device Closure- ASD VSD', 'Heart Surgery', 'Echocardiography with Color Doppler']","[None, None, None, None, None]","[None, None, None, None, None]"
https://www.vaidam.com/search/congenital-heart-disease-chd/malaysia, Congenital Heart Disease Chd Treatment Cost In Malaysia , Congenital Heart Disease Chd Treatment cost in Malaysia is between USD 7200 to USD 8800. Patient has to stay in the hospital for 2 days and outside the hospital for 15 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"[' Preoperative diagnostic tests cost [electrocardiogram (ECG), ultrasound, coronary angiogram, magnetic resonance imaging (MRI), etc.]\xa0 ', ' Surgery cost\xa0 ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost [blood pressure drugs, beta-blockers, water pills (diuretics), etc.] ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.) ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital ', ' Cost of Accommodation during follow-ups, in case the patient is not a local resident ']","['Congenital Heart Disorder CHD', 'Thoracic Aortic Aneurysm Treatment', 'ASD (Atrial Septal Defect) Closure', 'Device Closure- ASD VSD', 'Transposition of the Great Arteries (TGA) Surgery', 'Balloon Septostomy', 'Arterial Switch Operation', 'Heart Surgery', 'Blalock-Taussig (BT) Shunt', 'Echocardiography with Color Doppler', 'Fetal Echocardiogram', 'Cardiac OPD Procedures']","[None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None]"
https://www.vaidam.com/search/congenital-heart-disease-chd/germany, Congenital Heart Disease Chd Treatment Cost In Germany , Congenital Heart Disease Chd Treatment cost in Germany is between USD 19800 to USD 24200. Patient has to stay in the hospital for 2 days and outside the hospital for 15 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"[' Preoperative diagnostic tests cost [electrocardiogram (ECG), ultrasound, coronary angiogram, magnetic resonance imaging (MRI), etc.]\xa0 ', ' Surgery cost\xa0 ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost [blood pressure drugs, beta-blockers, water pills (diuretics), etc.] ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.) ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital ', ' Cost of Accommodation during follow-ups, in case the patient is not a local resident ']","['Congenital Heart Disorder CHD', 'Device Closure- ASD VSD', 'Heart Surgery', 'Echocardiography with Color Doppler']","[None, None, None, None]","[None, None, None, None]"
https://www.vaidam.com/search/congenital-heart-disease-chd/united-arab-emirates, Congenital Heart Disease Chd Treatment Cost In United Arab Emirates , ,"[' Preoperative diagnostic tests cost [electrocardiogram (ECG), ultrasound, coronary angiogram, magnetic resonance imaging (MRI), etc.]\xa0 ', ' Surgery cost\xa0 ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost [blood pressure drugs, beta-blockers, water pills (diuretics), etc.] ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.) ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital ', ' Cost of Accommodation during follow-ups, in case the patient is not a local resident ']",[],[],[]
https://www.vaidam.com/search/device-closure-for-asd/india, Device Closure For Asd Cost In India , Device Closure For Asd cost in India for Indian Patients is between Rs.217560 to Rs.290080. Cost for International patients is between USD 4410 to USD 5390. Patient has to stay in the hospital for 4 days and outside the hospital for 10 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,[],[],"['ASD (Atrial Septal Defect) Closure', 'Device Closure- ASD VSD', 'PDA Device Closure', 'Balloon Septostomy']","[217560, 208680, 186480, 66600]","[290080, 278240, 248640, 88800]"
https://www.vaidam.com/search/device-closure-for-asd/turkey, Device Closure For Asd Cost In Turkey , Device Closure For Asd cost in Turkey is between USD 7200 to USD 8800. Patient has to stay in the hospital for 4 days and outside the hospital for 10 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,[],[],"['ASD (Atrial Septal Defect) Closure', 'Device Closure- ASD VSD', 'PDA Device Closure']","[None, None, None]","[None, None, None]"
https://www.vaidam.com/search/device-closure-for-asd/thailand, Device Closure For Asd Cost In Thailand , Device Closure For Asd cost in Thailand is between USD 13500 to USD 16500. Patient has to stay in the hospital for 4 days and outside the hospital for 10 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,[],[],"['ASD (Atrial Septal Defect) Closure', 'Device Closure- ASD VSD']","[None, None]","[None, None]"
https://www.vaidam.com/search/device-closure-for-asd/malaysia, Device Closure For Asd Cost In Malaysia , Device Closure For Asd cost in Malaysia is between USD 8820 to USD 10780. Patient has to stay in the hospital for 4 days and outside the hospital for 10 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,[],[],"['ASD (Atrial Septal Defect) Closure', 'Device Closure- ASD VSD', 'PDA Device Closure', 'Balloon Septostomy']","[None, None, None, None]","[None, None, None, None]"
